YY,MM,DD,DISC 
2018,10,23,377
2018,10,24,353
2018,10,25,336
2018,10,26,334
2018,10,27,363
2018,10,28,539
2018,10,29,711
2018,10,30,585
2018,10,31,570
2019,06,01,439
2019,06,02,386
2019,06,03,341
2019,06,04,317
2019,06,05,357
2019,06,06,319
2019,06,07,283
2019,06,08,259
2019,06,09,237
2019,06,10,228
2019,06,11,210
2019,06,12,188
2019,06,13,166
2019,06,14,155
2019,06,15,152
2019,06,16,148
2019,06,17,142
2019,06,18,133
2019,06,19,127
2019,06,20,120
2019,06,21,111
2019,06,22,104
2019,06,23,104
2019,06,24,184
2019,06,25,599
2019,06,26,411
2019,06,27,303
2019,06,28,275
2019,06,29,299
2019,06,30,535
2019,07,01,1690
2019,07,02,1600
2019,07,03,946
2019,07,04,1220
2019,07,05,1440
2019,07,06,837
2019,07,07,572
2019,07,08,454
2019,07,09,378
2019,07,10,343
2019,07,11,326
2019,07,12,281
2019,07,13,241
2019,07,14,212
2019,07,15,209
2019,07,16,196
2019,07,17,171
2019,07,18,159
2019,07,19,174
2019,07,20,181
2019,07,21,174
2019,07,22,160
2019,07,23,145
2019,07,24,132
2019,07,25,121
2019,07,26,110
2019,07,27,107
2019,07,28,114
2019,07,29,143
2019,07,30,162
2019,07,31,134
2019,08,01,118
2019,08,02,109
2019,08,03,102
2019,08,04,101
2019,08,05,104
2019,08,06,117
2019,08,07,115
2019,08,08,134
2019,08,09,126
2019,08,10,108
2019,08,11,98.6
2019,08,12,93.3
2019,08,13,91.7
2019,08,14,89.1
2019,08,15,84.9
2019,08,16,83.3
2019,08,17,81.6
2019,08,18,81.1
2019,08,19,79.7
2019,08,20,77.6
2019,08,21,79.7
2019,08,22,78.5
2019,08,23,75.8
2019,08,24,72.9
2019,08,25,70.7
2019,08,26,72.7
2019,08,27,89.5
2019,08,28,97.8
2019,08,29,95.7
2019,08,30,87.6
2019,08,31,81.0
2019,09,01,76.9
2019,09,02,74.9
2019,09,03,82.0
2019,09,04,88.4
2019,09,05,86.4
2019,09,06,98.7
2019,09,07,129
2019,09,08,112
2019,09,09,103
2019,09,10,213
2019,09,11,319
2019,09,12,255
2019,09,13,915
2019,09,14,908
2019,09,15,560
2019,09,16,394
2019,09,17,311
2019,09,18,342
2019,09,19,652
2019,09,20,460
2019,09,21,346
2019,09,22,739
2019,09,23,683
2019,09,24,453
2019,09,25,344
2019,09,26,284
2019,09,27,250
2019,09,28,255
2019,09,29,244
2019,09,30,4480
2019,10,01,11100
2019,10,02,5630
2019,10,03,2790
2019,10,04,2190
2019,10,05,2070
2019,10,06,3010
2019,10,07,2000
2019,10,08,1450
2019,10,09,1120
2019,10,10,885
2019,10,11,927
2019,10,12,1200
2019,10,13,1030
2019,10,14,920
2019,10,15,796
2019,10,16,825
2019,10,17,727
2019,10,18,619
2019,10,19,535
2019,10,20,476
2019,10,21,966
2019,10,22,5420
2019,10,23,5260
2019,10,24,2520
2019,10,25,1600
2019,10,26,1220
2019,10,27,981
2019,10,28,807
2019,10,29,680
2019,10,30,575
2019,10,31,494
2020,06,01,213
2020,06,02,193
2020,06,03,175
2020,06,04,156
2020,06,05,141
2020,06,06,125
2020,06,07,113
2020,06,08,108
2020,06,09,104
2020,06,10,97.5
2020,06,11,93.5
2020,06,12,89.2
2020,06,13,85.3
2020,06,14,81.0
2020,06,15,77.2
2020,06,16,73.8
2020,06,17,70.9
2020,06,18,67.1
2020,06,19,66.0
2020,06,20,62.2
2020,06,21,61.0
2020,06,22,60.1
2020,06,23,57.7
2020,06,24,56.4
2020,06,25,56.4
2020,06,26,54.8
2020,06,27,52.6
2020,06,28,49.5
2020,06,29,51.2
2020,06,30,60.4
2020,07,01,64.1
2020,07,02,59.9
2020,07,03,54.3
2020,07,04,49.5
2020,07,05,49.9
2020,07,06,102
2020,07,07,66.1
2020,07,08,53.8
2020,07,09,248
2020,07,10,290
2020,07,11,174
2020,07,12,118
2020,07,13,91.7
2020,07,14,76.0
2020,07,15,69.9
2020,07,16,60.8
2020,07,17,68.2
2020,07,18,395
2020,07,19,1350
2020,07,20,652
2020,07,21,1040
2020,07,22,2000
2020,07,23,1030
2020,07,24,575
2020,07,25,402
2020,07,26,320
2020,07,27,260
2020,07,28,211
2020,07,29,176
2020,07,30,149
2020,07,31,131
2020,08,01,117
2020,08,02,104
2020,08,03,93.3
2020,08,04,71.7
2020,08,05,64.7
2020,08,06,59.4
2020,08,07,57.0
2020,08,08,1500
2020,08,09,1720
2020,08,10,2370
2020,08,11,1180
2020,08,12,732
2020,08,13,582
2020,08,14,531
2020,08,15,497
2020,08,16,424
2020,08,17,330
2020,08,18,273
2020,08,19,231
2020,08,20,200
2020,08,21,178
2020,08,22,162
2020,08,23,156
2020,08,24,144
2020,08,25,131
2020,08,26,120
2020,08,27,107
2020,08,28,100
2020,08,29,103
2020,08,30,102
2020,08,31,100
2020,09,01,137
2020,09,02,145
2020,09,03,124
2020,09,04,111
2020,09,05,97.1
2020,09,06,91.0
2020,09,07,82.3
2020,09,08,75.2
2020,09,09,70.4
2020,09,10,69.3
2020,09,11,69.6
2020,09,12,66.2
2020,09,13,64.0
2020,09,14,61.2
2020,09,15,58.1
2020,09,16,55.0
2020,09,17,53.3
2020,09,18,51.4
2020,09,19,50.0
2020,09,20,49.1
2020,09,21,47.2
2020,09,22,45.2
2020,09,23,44.9
2020,09,24,66.1
2020,09,25,71.9
2020,09,26,73.0
2020,09,27,70.0
2020,09,28,66.1
2020,09,29,65.0
2020,09,30,64.3
2020,10,01,69.5
2020,10,02,77.4
2020,10,03,78.8
2020,10,04,73.6
2020,10,05,67.8
2020,10,06,65.0
2020,10,07,63.7
2020,10,08,63.2
2020,10,09,61.6
2020,10,10,59.8
2020,10,11,60.4
2020,10,12,80.0
2020,10,13,218
2020,10,14,220
2020,10,15,190
2020,10,16,182
2020,10,17,164
2020,10,18,155
2020,10,19,154
2020,10,20,150
2020,10,21,154
2020,10,22,156
2020,10,23,182
2020,10,24,194
2020,10,25,192
2020,10,26,179
2020,10,27,154
2020,10,28,163
2020,10,29,149
2020,10,30,147
2020,10,31,151
2021,06,01,269
2021,06,02,248
2021,06,03,222
2021,06,04,200
2021,06,05,180
2021,06,06,155
2021,06,07,135
2021,06,08,119
2021,06,09,105
2021,06,10,94.9
2021,06,11,90.4
2021,06,12,86.9
2021,06,13,81.0
2021,06,14,74.9
2021,06,15,69.2
2021,06,16,65.0
2021,06,17,64.1
