YY MM DD DISC 
2021 06 17 149
2021 06 18 143
2021 06 19 137
2021 06 20 139
2021 06 21 207
2021 06 22 265
2021 06 23 239
2021 06 24 217
2021 06 25 224
2021 06 26 206
2021 06 27 185
2021 06 28 171
2021 06 29 190
2021 06 30 329
2021 07 01 347
2021 07 02 266
2021 07 03 207
2021 07 04 172
2021 07 05 154
2021 07 06 148
2021 07 07 179
2021 07 08 197
2021 07 09 180
2021 07 10 160
2021 07 11 146
2021 07 12 135
2021 07 13 127
2021 07 14 125
2021 07 15 121
2021 07 16 117
2021 07 17 114
2021 07 18 111
2021 07 19 109
2021 07 20 107
2021 07 21 105
2021 07 22 108
2021 07 23 117
2021 07 24 126
2021 07 25 132
2021 07 26 132
2021 07 27 212
2021 07 28 283
2021 07 29 385
2021 07 30 375
2021 07 31 303
2021 08 01 245
2021 08 02 205
2021 08 03 180
2021 08 04 164
2021 08 05 153
2021 08 06 145
2021 08 07 138
2021 08 08 148
2021 08 09 161
2021 08 10 177
2021 08 11 216
2021 08 12 197
2021 08 13 173
2021 08 14 156
2021 08 15 138
2021 08 16 126
2021 08 17 119
2021 08 18 114
2021 08 19 110
2021 08 20 106
2021 08 21 102
2021 08 22 99.0
2021 08 23 96.8
2021 08 24 96.3
2021 08 25 100
2021 08 26 99.1
2021 08 27 103
2021 08 28 112
2021 08 29 128
2021 08 30 119
2021 08 31 110
2021 09 01 104
2021 09 02 101
2021 09 03 103
2021 09 04 101
2021 09 05 100
2021 09 06 98.6
2021 09 07 111
2021 09 08 111
2021 09 09 104
2021 09 10 103
2021 09 11 102
2021 09 12 98.5
2021 09 13 96.7
2021 09 14 129
2021 09 15 152
2021 09 16 142
2021 09 17 155
2021 09 18 192
2021 09 19 190
2021 09 20 175
2021 09 21 345
2021 09 22 301
2021 09 23 256
2021 09 24 231
2021 09 25 210
2021 09 26 194
2021 09 27 176
2021 09 28 163
2021 09 29 154
2021 09 30 145
2021 10 01 140
2021 10 02 136
2021 10 03 187
2021 10 04 330
2021 10 05 421
2021 10 06 375
2021 10 07 315
2021 10 08 290
2021 10 09 264
2021 10 10 241
2021 10 11 232
2021 10 12 223
