YY,MM,DD,WTMP
2019,7,13,20.93
2019,7,14,21.17
2019,7,15,21.77
2019,7,16,21.92
2019,7,17,21.94
2019,7,18,21.88
2019,7,19,21.75
2019,7,20,21.52
2019,7,21,21.24
2019,7,22,20.93
2019,7,23,20.99
2019,7,24,21.34
2019,7,25,21.39
2019,7,26,21.03
2019,7,27,20.81
2019,7,28,20.84
2019,7,29,20.58
2019,7,30,20.55
2019,7,31,20.69
2019,8,1,20.97
2019,8,2,21.18
2019,8,3,21.41
2019,8,4,21.56
2019,8,5,21.66
2019,8,6,21.74
2019,8,7,21.53
2019,8,8,21.4
2019,8,9,21.32
2019,8,10,21.53
2019,8,11,21.73
2019,8,12,21.71
2019,8,13,21.39
2019,8,14,21.08
2019,8,15,21.12
2019,8,16,21.23
2019,8,17,21.21
2019,8,18,20.96
2019,8,19,20.61
2019,8,20,20.39
2019,8,21,20.21
2019,8,22,19.92
2019,8,23,19.63
2019,8,24,19.55
2019,8,25,19.38
2019,8,26,18.91
2019,8,27,18.3
2019,8,28,17.64
2019,8,29,16.83
2019,8,30,16.31
2019,8,31,16.4
2019,9,1,16.28
2019,9,2,16.12
2019,9,3,16.16
2019,9,4,16.16
2019,9,5,16.0
2019,9,6,15.95
2019,9,7,15.88
2019,9,8,15.7
2019,9,9,15.44
2019,9,10,15.24
2019,9,11,15.01
2019,9,12,14.69
2019,9,13,14.51
2019,9,14,14.48
2019,9,15,14.38
2019,9,16,14.37
2019,9,17,14.7
2019,9,18,14.73
2019,9,19,14.71
2019,9,20,14.71
2019,9,21,14.75
2019,9,22,15.0
2019,9,23,15.19
2019,9,24,15.31
2019,9,25,14.86
2019,9,26,14.42
2019,9,27,13.95
2019,9,28,13.38
2019,9,29,13.46
2019,9,30,13.65
2019,10,1,13.44
2019,10,2,12.91
2019,10,3,12.29
2019,10,4,11.64
2019,10,5,11.13
2019,10,6,10.93
2019,10,7,10.91
2019,10,8,10.91
2019,10,9,10.85
2019,10,10,10.91
2019,10,11,10.69
2019,10,12,10.31
2019,10,13,10.17
2019,10,14,9.92
2019,10,15,9.59
2019,10,16,9.35
2019,10,17,9.25
2019,10,18,9.22
2019,10,19,9.15
2019,10,20,9.15
2019,10,21,9.08
2019,10,22,8.91
2019,10,23,8.73
2019,10,24,8.65
2019,10,25,8.64
2019,10,26,8.63
2019,10,27,8.53
2019,10,28,8.45
2019,10,29,8.26
2019,10,30,8.07
2019,10,31,7.96
2020,6,1,11.71
2020,6,2,12.15
2020,6,3,12.88
2020,6,4,13.67
2020,6,5,14.1
2020,6,6,14.07
2020,6,7,13.7
2020,6,8,13.25
2020,6,9,13.28
2020,6,10,13.59
2020,6,11,13.79
2020,6,12,13.81
2020,6,13,13.88
2020,6,14,13.86
2020,6,15,14.08
2020,6,16,14.4
2020,6,17,14.81
2020,6,18,15.29
2020,6,19,15.76
2020,6,20,16.8
2020,6,21,17.63
2020,6,22,18.18
2020,6,23,18.85
2020,6,24,19.24
2020,6,25,19.43
2020,6,26,19.83
2020,6,27,20.3
2020,6,28,20.65
2020,6,29,21.14
2020,6,30,21.91
2020,7,1,22.39
2020,7,2,23.2
2020,7,3,23.67
2020,7,4,23.69
2020,7,5,23.83
2020,7,6,23.84
2020,7,7,23.88
2020,7,8,23.84
2020,7,9,23.31
2020,7,10,22.72
2020,7,11,22.38
